₴	гривень
₴	гривне
₴	гривнею
₴	гривню
₴	гривня
₴	гривням
₴	гривнями
₴	гривнях
₴	гривні
$	долар
$	долара
$	доларам
$	доларами
$	доларах
$	доларе
$	долари
$	доларові
$	доларом
$	долару
$	доларі
$	доларів
€	євро
£	фунт
£	фунта
£	фунту
£	фунтові
£	фунтом
£	фунті
£	фунти
£	фунтів
£	фунтам
£	фунтами
£	фунтах
£	фунте
£	фунт стерлінгів
£	фунта стерлінгів
£	фунту стерлінгів
£	фунтові стерлінгів
£	фунтом стерлінгів
£	фунті стерлінгів
£	фунти стерлінгів
£	фунтів стерлінгів
£	фунтам стерлінгів
£	фунтами стерлінгів
£	фунтах стерлінгів
£	фунте стерлінгів
₽	рубль
₽	рубля
₽	рублю
₽	рублеві
₽	рублем
₽	рублі
₽	рублів
₽	рублям
₽	рублями
₽	рублях
₽	рубле
zł	злотий
zł	злотого
zł	злотому
zł	злотим
zł	злотім
zł	злоті
zł	злотих
zł	злотими
¥	єна
¥	єни
¥	єні
¥	єну
¥	єною
¥	єн
¥	єнам
¥	єнами
¥	єнах
CHF	франк
CHF	франка
CHF	франку
CHF	франкові
CHF	франком
CHF	франкі
CHF	франки
CHF	франків
CHF	франкам
CHF	франками
CHF	франках
CHF	франке
₹	рупія
₹	рупії
₹	рупію
₹	рупією
₹	рупій
₹	рупіям
₹	рупіями
₹	рупіях
₪	шекель
₪	шекеля
₪	шекелю
₪	шекелеві
₪	шекелем
₪	шекелі
₪	шекелів
₪	шекелям
₪	шекелями
₪	шекелях
₸	тенге
฿	бат
฿	бата
฿	бату
฿	батові
฿	батом
฿	баті
฿	бати
฿	батів
฿	батам
฿	батами
฿	батах
฿	бате
₺	ліра
₺	ліри
₺	лірі
₺	ліру
₺	лірою
₺	лір
₺	лірам
₺	лірами
₺	лірах
R$	реал
R$	реала
R$	реалу
R$	реалові
R$	реалом
R$	реалі
R$	реали
R$	реалів
R$	реалам
R$	реалами
R$	реалах
R$	реале
₩	вон
AED	дирхам
AED	дирхама
AED	дирхаму
AED	дирхамові
AED	дирхамом
AED	дирхамі
AED	дирхами
AED	дирхамів
AED	дирхамам
AED	дирхамами
AED	дирхамах
AED	дирхаме
₿	біткоїн
₿	біткоїна
₿	біткоїну
₿	біткоїнові
₿	біткоїном
₿	біткоїні
₿	біткоїни
₿	біткоїнів
₿	біткоїнам
₿	біткоїнами
₿	біткоїнах
₿	біткоїне
₿	біткойн
₿	біткойна
₿	біткойну
₿	біткойнові
₿	біткойном
₿	біткойні
₿	біткойни
₿	біткойнів
₿	біткойнам
₿	біткойнами
₿	біткойнах
₿	біткойне
₾	ларі
SEK	шведська крона
SEK	шведської крони
SEK	шведській кроні
SEK	шведську крону
SEK	шведською кроною
SEK	шведські крони
SEK	шведських крон
SEK	шведським кронам
SEK	шведськими кронами
SEK	шведських кронах
CZK	чеська крона
CZK	чеської крони
CZK	чеській кроні
CZK	чеську крону
CZK	чеською кроною
CZK	чеські крони
CZK	чеських крон
CZK	чеським кронам
CZK	чеськими кронами
CZK	чеських кронах
NOK	норвезька крона
NOK	норвезької крони
NOK	норвезькій кроні
NOK	норвезьку крону
NOK	норвезькою кроною
NOK	норвезькі крони
NOK	норвезьких крон
NOK	норвезьким кронам
NOK	норвезькими кронами
NOK	норвезьких кронах
DKK	данська крона
DKK	данської крони
DKK	данській кроні
DKK	данську крону
DKK	данською кроною
DKK	данські крони
DKK	данських крон
DKK	данським кронам
DKK	данськими кронами
DKK	данських кронах
C$	канадський долар
C$	канадського долара
C$	канадському долару
C$	канадським доларом
C$	канадському доларі
C$	канадські долари
C$	канадських доларів
C$	канадським доларам
C$	канадськими доларами
C$	канадських доларах
A$	австралійський долар
A$	австралійського долара
A$	австралійському долару
A$	австралійським доларом
A$	австралійському доларі
A$	австралійські долари
A$	австралійських доларів
A$	австралійським доларам
A$	австралійськими доларами
A$	австралійських доларах
CHF	швейцарський франк
CHF	швейцарського франка
CHF	швейцарському франку
CHF	швейцарським франком
CHF	швейцарському франкі
CHF	швейцарські франки
CHF	швейцарських франків
CHF	швейцарським франкам
CHF	швейцарськими франками
CHF	швейцарських франках
¥	юань
¥	юаня
¥	юаню
¥	юаневі
¥	юанем
¥	юані
¥	юанів
¥	юаням
¥	юанями
¥	юанях
