%	відсотка
%	відсоткам
%	відсотками
%	відсотках
%	відсотки
%	відсоткові
%	відсотком
%	відсотку
%	відсотків
%	відсоток
%	процент
%	процента
%	проценту
%	процентові
%	процентом
%	проценті
%	проценти
%	процентів
%	процентам
%	процентами
%	процентах
%	проценте
км	кілометр
км	кілометра
км	кілометру
км	кілометрові
км	кілометром
км	кілометрі
км	кілометри
км	кілометрів
км	кілометрам
км	кілометрами
км	кілометрах
км	кілометре
м	метр
м	метра
м	метру
м	метрові
м	метром
м	метрі
м	метри
м	метрів
м	метрам
м	метрами
м	метрах
м	метре
см	сантиметр
см	сантиметра
см	сантиметру
см	сантиметрові
см	сантиметром
см	сантиметрі
см	сантиметри
см	сантиметрів
см	сантиметрам
см	сантиметрами
см	сантиметрах
см	сантиметре
мм	міліметр
мм	міліметра
мм	міліметру
мм	міліметрові
мм	міліметром
мм	міліметрі
мм	міліметри
мм	міліметрів
мм	міліметрам
мм	міліметрами
мм	міліметрах
мм	міліметре
кг	кілограм
кг	кілограма
кг	кілограму
кг	кілограмові
кг	кілограмом
кг	кілограмі
кг	кілограми
кг	кілограмів
кг	кілограмам
кг	кілограмами
кг	кілограмах
кг	кілограме
г	грам
г	грама
г	граму
г	грамові
г	грамом
г	грамі
г	грами
г	грамів
г	грамам
г	грамами
г	грамах
г	граме
л	літр
л	літра
л	літру
л	літрові
л	літром
л	літрі
л	літри
л	літрів
л	літрам
л	літрами
л	літрах
л	літре
мл	мілілітр
мл	мілілітра
мл	мілілітру
мл	мілілітрові
мл	мілілітром
мл	мілілітрі
мл	мілілітри
мл	мілілітрів
мл	мілілітрам
мл	мілілітрами
мл	мілілітрах
мл	мілілітре
га	гектар
га	гектара
га	гектару
га	гектарові
га	гектаром
га	гектарі
га	гектари
га	гектарів
га	гектарам
га	гектарами
га	гектарах
га	гектаре
т	тонна
т	тонни
т	тонні
т	тонну
т	тонною
т	тонн
т	тоннам
т	тоннами
т	тоннах
с	секунда
с	секунди
с	секунді
с	секунду
с	секундою
с	секунд
с	секундам
с	секундами
с	секундах
км/год	кілометр на годину
км/год	кілометр за годину
км/год	кілометра на годину
км/год	кілометра за годину
км/год	кілометри на годину
км/год	кілометри за годину
км/год	кілометрів на годину
км/год	кілометрів за годину
м/с	метр на секунду
м/с	метр за секунду
м/с	метра на секунду
м/с	метра за секунду
м/с	метри на секунду
м/с	метри за секунду
